call_id,leader,leader_url,members
1762690436.8694288,1758702538.9640459,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1758702538.9640459.wav,"['1754042990.6371250', '1758702538.9640459', '1756879767.3917412', '1754209157.7363029', '1761037341.2449073', '1761874467.67284', '1757643215.130071', '1754988052.13660589', '1761980569.1191572', '1761277454.4878428', '1759737944.18511549', '1762690436.8694288', '1755762078.19987544', '1755846062.20659436', '1753696047.4040067', '1753778307.4629051']"
1762687822.8671013,1751507459.705028,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1751507459.705028.wav,"['1751507459.705028', '1761912042.734946', '1750495986.4755297', '1761961399.827763', '1760322083.1848897', '1762687822.8671013', '1752546728.8398342', '1761186792.3811740']"
1762686734.8660592,1761564288.7800178,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1761564288.7800178.wav,"['1761564288.7800178', '1761739568.9763095', '1756285779.24000727', '1762686734.8660592']"
1762682513.8613377,1745543270.10383608,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1745543270.10383608.wav,"['1745543270.10383608', '1739697620.55483841', '1761291474.5163098', '1747110841.19063580', '1757933372.2750816', '1740639377.60475975', '1741249674.64234071', '1741743328.66589642', '1745560410.10605139', '1741858478.67431532', '1761795632.10081150', '1761619379.8069578', '1736847468.42834151', '1737883192.48038592', '1758518696.7809782', '1741672460.66285400', '1741173372.63833669', '1739696539.55472880', '1739416955.54060037', '1740452531.59275347']"
1762681250.8594849,1761540363.7283676,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1761540363.7283676.wav,"['1762681250.8594849', '1761540363.7283676', '1761565110.7810284', '1761636878.8452505', '1760254112.1404901', '1757490817.2091561', '1761297566.5304161', '1761383878.6082380', '1757485602.1979541']"
1762682061.8607407,1751889930.3607681,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1751889930.3607681.wav,"['1761039732.2506460', '1752038953.4636477', '1761887543.315429', '1759140150.13823110', '1758536095.8181210', '1760618127.2266601', '1751889930.3607681', '1761015476.1914192', '1758090271.4180141', '1762682061.8607407', '1759373461.15523764', '1760941278.1171457', '1758788199.10442152', '1760698281.3130274', '1761826977.10661186', '1760522063.1121094', '1759217995.14455791', '1760685853.2857245', '1761528421.6985752', '1761450013.6475532']"
1762682000.8606530,1752038953.4636477,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1752038953.4636477.wav,"['1762682000.8606530', '1761039732.2506460', '1752038953.4636477', '1761887543.315429', '1759140150.13823110', '1758536095.8181210', '1760618127.2266601', '1751889930.3607681', '1761015476.1914192', '1758090271.4180141', '1759373461.15523764', '1760941278.1171457', '1758788199.10442152', '1760698281.3130274', '1761826977.10661186', '1760522063.1121094', '1759217995.14455791', '1760685853.2857245', '1761528421.6985752', '1761450013.6475532']"
1762680660.8584990,1753758847.4344997,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1753758847.4344997.wav,"['1742551140.71518653', '1737797386.47699556', '1752831378.10973831', '1760773373.3719231', '1753758847.4344997', '1748591661.28619958', '1760007842.21123132', '1748163066.25906015', '1745894816.12457422', '1754098321.6503900', '1741757546.66765566', '1756719538.2835748', '1741669773.66258702', '1760161432.426580', '1741506768.65466340', '1754707112.11332078', '1759478319.16467963', '1753520156.2788923', '1753327338.1215598', '1753163230.13275741']"
1762680537.8582836,1753422140.2011012,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1753422140.2011012.wav,"['1750061776.1557258', '1761116766.3228358', '1750496812.4766184', '1753422140.2011012', '1760873216.621426', '1748154293.25807060', '1742285047.69643538', '1753690189.3928437', '1757920106.2468848', '1747275204.20083121', '1762680537.8582836', '1740734346.61193319', '1738910992.51271564', '1755753216.19825961', '1748323677.26815544', '1753781491.4676719', '1746590051.15900763', '1752471839.7872517', '1744701403.5781872', '1745199639.8351328']"
1762674965.8483080,1747015203.18326912,https://speaker-recognition-audio.oss-cn-shanghai-internal.aliyuncs.com/datasets/daily/cscrm/1747015203.18326912.wav,"['1747015203.18326912', '1758766129.9989310', '1755225240.15495129', '1756779299.3055943', '1754987166.13643400', '1755669589.19120881', '1758162800.4728698', '1757577345.2837051', '1737712606.47340760', '1756795025.3313788', '1747287972.20253131', '1756542976.1776127', '1742529053.71208371', '1756548060.1832254', '1761734103.9679315', '1741833431.67142460', '1762674965.8483080', '1753950363.5731718', '1753259409.806204', '1759820510.19125573']"
